FID	IID	Ala	Arg	Asp	Glu	Gly	His	Ile	Leu	Lys	Phe	Pro	Ser	Thr	Tyr	Val
L87-0482	L87-0482	17.5	27.7	46.5	67.9	15.8	10	15.9	25.6	23.8	18.8	28.3	19	16.5	12.7	14.8
L77-5632	L77-5632	17	29.6	48.8	71.7	16.8	10.3	16.7	27.5	24.8	19.9	28.5	20.1	17.5	13.3	15.8
L83-4744	L83-4744	15.6	25.1	43	62.4	15.6	9.3	15.8	24.7	22.3	17.4	25.5	18.1	15.4	12	15.6
Gnome 85	Gnome 85	17	25.8	44	66.8	16.3	9.7	16.7	28.1	23.7	18	26.7	17.8	16.4	13	13.4
Kim	Kim	17.8	27.1	43.1	66.3	16.2	10	16.8	28.3	23	17.5	26.7	17.5	15.7	12.8	13.7
Nile	Nile	17.7	26.3	44.5	68	16.1	9.9	17.3	30.1	23.6	18.7	24.3	17.9	16.3	13.4	14.5
L88-8739	L88-8739	18.6	28.4	47.1	72.9	17.1	10.3	17.7	31.2	24.4	19.8	24.6	19	16.9	13.5	14.7
Xiaoqingdou	Xiaoqingdou	19	31.2	48.2	73.5	17.4	10.7	17.8	30.8	24.7	19.9	29	18.9	16.9	13.9	15
Zhongpin 662	Zhongpin 662	19.1	29.9	49.9	77.7	17.5	10.4	18.1	31.3	24.9	20.9	29	19.9	17.2	13.6	15.6
PI 547893	PI 547893	18.7	30.1	49.2	76.3	17.2	10.6	18.4	31.7	24.9	20.6	26.8	19.9	17.4	14.1	14.8
PI 547872	PI 547872	17.5	25.8	45.7	68.8	16.3	9.8	16.8	30.1	23.5	18.5	24.4	19	16.7	13.3	14.1
Xinliuqing	Xinliuqing	20.3	37.2	54.3	81.1	18.6	11.1	20.7	36.3	26.8	23.4	28.9	21.6	18.9	15.7	18.1
Siliyuan	Siliyuan	17	34.6	50.1	73.3	17.1	10.8	16.9	29.3	24.4	19.8	26.3	19.4	17.3	12.9	15.4
Amsoy	Amsoy	15.4	24.2	39.6	61.7	15	9.3	16	26.4	22.3	17.8	20	16.8	14.7	11.4	15.7
Heidou	Heidou	17.5	28.3	48.2	72.4	17.5	10.3	18	30.8	24.7	20.3	26.9	19.5	17.5	13.3	15.7
Boaihongpizaojiao	Boaihongpizaojiao	17.6	34.5	51	76	18	11.3	18.4	32.1	25.2	21.1	25.2	20.3	18	14.2	16.4
Spry	Spry	17.5	29.2	47.8	73.4	16.8	10.4	17.8	30.4	24.7	19.6	28	19.6	17	13.2	15.7
PI 547838	PI 547838	18.3	29.5	47.8	74.5	17.1	10.2	18.8	32.1	24.2	20.1	25.1	19.5	16.6	14.1	16.5
PI 547850	PI 547850	18.7	29.4	49.7	76.5	17.8	10.6	19.5	33.6	25.7	21	28.6	20.2	17.7	14.7	17.7
Zheng 9525	Zheng 9525	17.7	29.1	43.6	64.7	16.4	10	17.8	29.7	24.6	20.8	21.8	17.7	16.3	12.5	15.8
Pingdinghuangdou	Pingdinghuangdou	18.6	32.2	47	69.8	17.6	11.4	18	30.6	25.4	21.2	23.9	19.5	17.4	13.4	17.1
PI 547888	PI 547888	15.2	27.7	44.1	69.9	15.5	10.1	15.6	25	23.9	18.3	26.2	18	16.8	12.4	14.2
Jindou 21	Jindou 21	16.4	26.7	42.6	69.5	16	10.1	15.3	24.6	23.3	17.8	24.3	17.7	16.8	12.2	14.3
KD01	KD01	17.4	36.6	50.3	78.7	16.5	10.6	15.4	23.9	24.7	19.2	27.6	19.9	17.8	12.4	14.2
